artist,song,duration [min],release year,key_full,tempo [bpm],genre_primary,genre_raw
Brandy,What About Us?,4.22,2002,F minor,93.118,hip hop,"hip hop, pop, R&B"
Chad Kroeger,Hero (feat. Josey Scott),3.3413333333333335,2003,E major,147.387,metal,metal
Britney Spears,Overprotected - Radio Edit,3.31,2001,C minor,95.992,pop,pop
Scooter,The Logical Song,3.9019333333333335,2013,F# minor,144.043,pop,"pop, Dance/Electronic"
Missy Elliott,4 My People (feat. Eve),4.822883333333333,2001,C# major,121.392,hip hop,"hip hop, pop, R&B"
Aaliyah,More Than A Woman,3.8391,2002,B major,86.994,hip hop,"hip hop, pop, R&B"
Brandy,Full Moon,4.148883333333333,2002,A# minor,105.922,hip hop,"hip hop, pop, R&B"
Blue,One Love,3.4531,2002,G# minor,95.012,pop,pop
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,3.9766666666666666,2001,F# minor,89.767,hip hop,"hip hop, pop"
Céline Dion,A New Day Has Come - Radio Remix,4.32955,2001,F# major,91.969,pop,pop
Scooter,Nessaja,3.47415,2013,D major,143.048,pop,"pop, Dance/Electronic"
Eve,Gangsta Lovin',3.9877666666666665,2002,C# minor,94.332,hip hop,"hip hop, pop, R&B"
Disturbing Tha Peace,Move Bitch,4.538216666666667,2002,C# major,177.894,hip hop,"hip hop, pop"
Khia,"My Neck, My Back (Lick It)",3.7093333333333334,2015,A minor,102.072,pop,"pop, R&B"
Tweet,Oops (Oh My) [feat. Missy Elliott],3.9633333333333334,2002,A# minor,159.963,hip hop,"hip hop, pop, R&B"
Kylie Minogue,Spinning Around,3.4644333333333335,2000,F# minor,120.043,pop,"pop, Dance/Electronic"
Nelly,Hot In Herre,3.804,2002,B minor,107.075,hip hop,"hip hop, pop, R&B"
Gareth Gates,Anyone of Us (Stupid Mistake),3.7977666666666665,2003,C# major,106.986,pop,pop
Christina Aguilera,Dirrty (feat. Redman),4.980883333333334,2002,D major,99.931,pop,pop
B2K,Uh Huh,3.72155,2002,D major,99.699,hip hop,"hip hop, pop, R&B"
Sugababes,Freak Like Me,3.2644333333333333,2002,F major,91.868,pop,"pop, R&B"
Dirty Vegas,Days Go By,7.2024333333333335,2002,A minor,126.99,dance/electronic,Dance/Electronic
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),4.45155,2001,G# major,93.955,hip hop,"hip hop, pop"
Liberty X,Just A Little,3.955983333333333,2019,F minor,103.887,pop,pop
No Doubt,Hella Good,4.0431,2001,G# major,115.142,rock,"rock, pop"
LL Cool J,Luv U Better,4.783333333333333,2002,F# major,95.022,hip hop,"hip hop, pop, R&B"
Red Hot Chili Peppers,Can't Stop,4.483333333333333,2002,A major,91.455,rock,rock
Musiq Soulchild,Halfcrazy,4.24155,2002,B minor,101.955,pop,"pop, R&B"
Sean Paul,Gimme the Light,3.8,2002,D major,107.288,hip hop,"hip hop, pop"
Faith Evans,I Love You,4.4526666666666666,2001,B minor,168.004,hip hop,"hip hop, pop, R&B"
Charli Baltimore,Down 4 U,5.30355,2002,G major,83.133,pop,pop
Kylie Minogue,Love at First Sight,3.9711,2001,D# minor,124.994,pop,"pop, Dance/Electronic"
N.O.R.E.,Nothin',4.4108833333333335,2002,D# minor,97.035,hip hop,"hip hop, pop"
Gareth Gates,Unchained Melody,3.894433333333333,2003,A# major,106.52,pop,pop
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],4.48,2005,F# major,89.279,hip hop,"hip hop, pop"
Big Brovaz,Nu Flow,3.358,2001,G major,148.062,pop,pop
No Doubt,Hey Baby,3.4506666666666668,2001,B minor,93.63,rock,"rock, pop"
Ashanti,Baby,4.428433333333333,2002,E minor,157.596,hip hop,"hip hop, pop, R&B"
Sophie Ellis-Bextor,Murder On The Dancefloor,3.83355,2002,C# minor,117.31,pop,"pop, Dance/Electronic"
Justin Timberlake,Like I Love You,4.7271,2002,F# minor,114.964,pop,pop
Mary J. Blige,Rainy Dayz,4.606216666666667,2001,F# major,68.942,pop,"pop, R&B"
A1,Caught in the Middle,3.4411,2001,F major,96.072,pop,pop
Eminem,Cleanin' Out My Closet,4.964,2002,A minor,148.015,hip hop,hip hop
Ashanti,Happy,4.370433333333334,2002,D minor,89.488,hip hop,"hip hop, pop, R&B"
Delta Goodrem,Born to Try,4.188,2003,G# major,133.838,pop,pop
P!nk,Get the Party Started,3.2088833333333335,2001,B minor,128.93,pop,pop
Alicia Keys,A Woman's Worth,5.05555,2001,E minor,75.09,pop,"pop, R&B"
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,2.687333333333333,2002,G minor,133.592,pop,pop
Coldplay,Clocks,5.131316666666667,2002,F minor,130.97,rock,"rock, pop"
Missy Elliott,Work It,4.3871,2002,C# major,101.868,hip hop,"hip hop, pop, R&B"
Ronan Keating,If Tomorrow Never Comes,3.5717666666666665,2002,A# major,79.01,pop,"pop, rock"
Big Tymers,Still Fly,5.59355,2002,B major,177.928,hip hop,"hip hop, pop"
Creed,My Sacrifice,4.91,2001,D major,146.349,pop,"pop, rock, metal"
Ja Rule,Always On Time,4.08555,2001,F minor,96.673,hip hop,"hip hop, pop, R&B"
Ashanti,Foolish,3.7897666666666665,2002,C major,90.119,hip hop,"hip hop, pop, R&B"
Avril Lavigne,Sk8er Boi,3.4,2002,C major,149.937,pop,pop
DJ Sammy,Heaven,3.8933333333333335,2002,G# major,137.965,pop,pop
Britney Spears,"I'm Not a Girl, Not Yet a Woman",3.8511,2001,D# major,78.996,pop,pop
Cam’ron,Oh Boy,3.411766666666667,2002,F# major,83.014,hip hop,"hip hop, pop"
Red Hot Chili Peppers,By the Way,3.61555,2002,C major,122.444,rock,rock
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,3.5251,2002,E minor,114.999,rock,"rock, easy listening"
Atomic Kitten,The Tide Is High - Radio Mix,3.4348833333333335,2002,G major,103.997,pop,pop
*NSYNC,Girlfriend,4.226666666666667,2001,C minor,93.967,pop,pop
Robbie Williams,Somethin' Stupid,2.84155,2001,C major,106.191,pop,"pop, rock"
Alanis Morissette,Hands Clean,4.49,2002,G major,99.952,pop,"pop, Folk/Acoustic"
Usher,U Don't Have to Call,4.49,2001,C# major,100.005,hip hop,"hip hop, pop, R&B"
Creed,One Last Breath - Radio Version,4.033333333333333,2015,D major,130.581,pop,"pop, rock, metal"
The Goo Goo Dolls,Here Is Gone,3.96955,2002,C# major,102.192,pop,"pop, rock"
Puddle Of Mudd,She Hates Me,3.6126666666666667,2001,E major,109.781,rock,"rock, metal"
Ludacris,Rollout (My Business),4.9431,2001,G major,131.059,hip hop,"hip hop, pop"
Blazin' Squad,Crossroads - Radio Edit,3.1448833333333335,2012,E major,144.188,others,set()
