artist,song,duration [min],release year,key,tempo [bpm],genre
Gorillaz,Clint Eastwood,5.682,2001,A#,167.953,hip hop
2Pac,Until The End Of Time,4.441766666666667,2001,G#,96.976,hip hop
Tamia,Stranger in My House,4.756433333333334,2000,C,119.94,pop
Mary J. Blige,No More Drama,5.437333333333333,2001,F#,97.914,pop
Jennifer Lopez,Love Don't Cost a Thing,3.6871,2001,E,97.577,hip hop
Jamiroquai,Little L,4.923333333333333,2001,A#,121.906,pop
Case,Missing You,4.744433333333333,2001,C#,86.31,hip hop
112,Peaches & Cream,3.2182166666666667,2001,E,203.862,hip hop
Five,Let's Dance - Radio Edit,3.6437666666666666,2001,E,118.007,pop
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],3.552216666666667,2001,C,129.078,Dance/Electronic
Alien Ant Farm,Smooth Criminal,3.4877666666666665,2001,A,126.928,rock
Erick Sermon,Music (feat. Marvin Gaye),3.7188833333333333,2001,A#,100.01,hip hop
D12,Purple Pills,5.0751,2001,C#,125.25,hip hop
Usher,Pop Ya Collar - Radio Edit,3.51355,2016,F,106.957,hip hop
Madonna,Don't Tell Me,4.682883333333334,2000,G,99.965,pop
Blue,If You Come Back,3.4593333333333334,2001,A#,78.375,pop
Atomic Kitten,Eternal Flame - Single Version,3.2584333333333335,2001,C,83.293,pop
Jagged Edge,Where the Party At (feat. Nelly),3.8762166666666666,2001,F,129.491,hip hop
Afroman,Because I Got High,3.296,2001,G,166.01,hip hop
S Club 7,Don't Stop Movin',3.8937666666666666,2001,G,117.033,pop
Craig David,Fill Me In,4.286666666666667,2000,G#,132.493,hip hop
Nelly Furtado,Turn Off The Light,4.601766666666666,2000,D,180.184,hip hop
The Supermen Lovers,Starlight - Radio Edit,3.9066666666666667,2001,C,127.487,Dance/Electronic
Mis-Teeq,All I Want - Sunship Radio Edit,3.4566666666666666,2004,A,134.079,pop
Jagged Edge,Promise,4.112,2000,F,128.002,hip hop
S Club 7,Have You Ever,3.3588833333333334,2001,C,139.909,pop
Enya,Only Time,3.6424333333333334,2000,D#,82.803,World/Traditional
Faith Hill,There You'll Be,3.702,2001,G#,128.98,pop
Ronan Keating,Lovin' Each Day,3.54955,2000,C#,106.676,pop
Destiny's Child,Bootylicious,3.4651,2001,C#,103.376,pop
Steps,It's the Way You Make Me Feel,3.2893333333333334,2000,G#,105.006,pop
Sunshine Anderson,Heard It All Before,4.930433333333333,2001,D#,96.951,pop
Lenny Kravitz,Again,3.8611,2000,D,79.166,rock
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,2.70555,2002,G,133.592,pop
DB Boulevard,Point Of View - Radio Edit,3.8527666666666667,2018,F#,129.006,Dance/Electronic
Janet Jackson,All For You,5.498883333333334,2001,D,113.525,pop
Atomic Kitten,Whole Again,3.08355,2001,E,94.019,pop
Ja Rule,Livin' It Up,4.284433333333333,2001,F#,106.095,hip hop
Destiny's Child,"Independent Women, Pt. 1",3.68555,2001,F#,97.954,pop
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,3.6186666666666665,2001,D,131.044,Dance/Electronic
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,4.368883333333334,2001,B,83.46,hip hop
Musiq Soulchild,Love,5.077766666666666,2000,C#,99.738,pop
So Solid Crew,21 Seconds,5.0471,2001,C#,137.03,Dance/Electronic
Robbie Williams,Eternity,5.046,2001,A#,77.967,pop
Basement Jaxx,Romeo,3.6248833333333335,2001,D,126.853,pop
Ludacris,Southern Hospitality (Featuring Pharrell),5.01555,2000,C,95.158,hip hop
Gabrielle,Rise,3.65155,2001,G#,144.673,pop
Nelly,Ride Wit Me,4.863016666666667,2000,G,101.875,hip hop
Trick Daddy,I'm a Thug,4.24,2001,B,139.976,hip hop
Travis,Sing,3.8133333333333335,2001,E,163.142,rock
JAY-Z,Izzo (H.O.V.A.),4.010433333333333,2001,C#,84.411,hip hop
Gabrielle,Out Of Reach,3.2831,2001,B,182.862,pop
OPM,Heaven Is a Halfpipe (If I Die),4.2904333333333335,2000,G#,95.9,rock
K-Ci & JoJo,Crazy,4.37955,2019,C,116.097,pop
Staind,It's Been Awhile,4.411766666666667,2001,F#,116.529,rock
3LW,No More (Baby I'ma Do Right),4.390666666666666,2000,D,88.933,pop
Ginuwine,Differences,4.42555,2001,D#,62.876,hip hop
*NSYNC,Gone,4.866666666666666,2001,B,113.922,pop
Lifehouse,Hanging By A Moment,3.606,2000,C#,124.599,pop
Nelly,Dilemma,4.819333333333334,2002,D,168.189,hip hop
Eminem,Without Me,4.838666666666667,2002,G,112.238,hip hop
Avril Lavigne,Complicated,4.0751,2002,F,77.987,pop
Vanessa Carlton,A Thousand Miles,3.9582166666666665,2002,B,94.931,Others
The Calling,Wherever You Will Go,3.4766666666666666,2001,D,112.027,pop
Shakira,Underneath Your Clothes,3.7344333333333335,2001,G#,165.508,pop
No Doubt,Underneath It All,5.045333333333334,2001,E,138.202,rock
Truth Hurts,Addictive,3.774,2002,B,99.271,pop
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),5.4051,2002,F#,85.996,hip hop
Eminem,'Till I Collapse,4.9631,2002,C#,171.447,hip hop
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",4.759766666666667,2004,C#,199.764,hip hop
Christina Milian,When You Look At Me - Radio Edit,3.7091,2001,D#,108.955,hip hop
Madonna,Die Another Day,4.606,2003,C,123.993,pop
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),2.8706666666666667,2002,A#,93.401,hip hop
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),4.074433333333333,2019,A,195.685,pop
Linkin Park,In the End,3.6146666666666665,2000,D#,105.143,rock
Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,3.5662166666666666,2002,C#,184.819,Others
Aaliyah,Rock The Boat,4.5837666666666665,2019,F,92.988,hip hop
Holly Valance,Kiss Kiss,3.4066666666666667,2002,E,97.036,pop
Sugababes,Round Round,3.9404333333333335,2002,F#,126.607,pop
Marilyn Manson,Tainted Love,3.3404333333333334,2003,G#,142.017,rock
Brandy,What About Us?,4.22,2002,F,93.118,hip hop
Chad Kroeger,Hero (feat. Josey Scott),3.3413333333333335,2003,E,147.387,metal
Britney Spears,Overprotected - Radio Edit,3.31,2001,C,95.992,pop
Scooter,The Logical Song,3.9019333333333335,2013,F#,144.043,pop
Missy Elliott,4 My People (feat. Eve),4.822883333333333,2001,C#,121.392,hip hop
Aaliyah,More Than A Woman,3.8391,2002,B,86.994,hip hop
Brandy,Full Moon,4.148883333333333,2002,A#,105.922,hip hop
Blue,One Love,3.4531,2002,G#,95.012,pop
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,3.9766666666666666,2001,F#,89.767,hip hop
Céline Dion,A New Day Has Come - Radio Remix,4.32955,2001,F#,91.969,pop
Scooter,Nessaja,3.47415,2013,D,143.048,pop
Eve,Gangsta Lovin',3.9877666666666665,2002,C#,94.332,hip hop
Disturbing Tha Peace,Move Bitch,4.538216666666667,2002,C#,177.894,hip hop
Khia,"My Neck, My Back (Lick It)",3.7093333333333334,2015,A,102.072,pop
Tweet,Oops (Oh My) [feat. Missy Elliott],3.9633333333333334,2002,A#,159.963,hip hop
Kylie Minogue,Spinning Around,3.4644333333333335,2000,F#,120.043,pop
Nelly,Hot In Herre,3.804,2002,B,107.075,hip hop
Gareth Gates,Anyone of Us (Stupid Mistake),3.7977666666666665,2003,C#,106.986,pop
Christina Aguilera,Dirrty (feat. Redman),4.980883333333334,2002,D,99.931,pop
B2K,Uh Huh,3.72155,2002,D,99.699,hip hop
Sugababes,Freak Like Me,3.2644333333333333,2002,F,91.868,pop
Dirty Vegas,Days Go By,7.2024333333333335,2002,A,126.99,Dance/Electronic
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),4.45155,2001,G#,93.955,hip hop
Liberty X,Just A Little,3.955983333333333,2019,F,103.887,pop
No Doubt,Hella Good,4.0431,2001,G#,115.142,rock
LL Cool J,Luv U Better,4.783333333333333,2002,F#,95.022,hip hop
Red Hot Chili Peppers,Can't Stop,4.483333333333333,2002,A,91.455,rock
Musiq Soulchild,Halfcrazy,4.24155,2002,B,101.955,pop
Sean Paul,Gimme the Light,3.8,2002,D,107.288,hip hop
Faith Evans,I Love You,4.4526666666666666,2001,B,168.004,hip hop
Charli Baltimore,Down 4 U,5.30355,2002,G,83.133,pop
Kylie Minogue,Love at First Sight,3.9711,2001,D#,124.994,pop
N.O.R.E.,Nothin',4.4108833333333335,2002,D#,97.035,hip hop
Gareth Gates,Unchained Melody,3.894433333333333,2003,A#,106.52,pop
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],4.48,2005,F#,89.279,hip hop
Big Brovaz,Nu Flow,3.358,2001,G,148.062,pop
No Doubt,Hey Baby,3.4506666666666668,2001,B,93.63,rock
Ashanti,Baby,4.428433333333333,2002,E,157.596,hip hop
Sophie Ellis-Bextor,Murder On The Dancefloor,3.83355,2002,C#,117.31,pop
Justin Timberlake,Like I Love You,4.7271,2002,F#,114.964,pop
Mary J. Blige,Rainy Dayz,4.606216666666667,2001,F#,68.942,pop
A1,Caught in the Middle,3.4411,2001,F,96.072,pop
Eminem,Cleanin' Out My Closet,4.964,2002,A,148.015,hip hop
Ashanti,Happy,4.370433333333334,2002,D,89.488,hip hop
Delta Goodrem,Born to Try,4.188,2003,G#,133.838,pop
P!nk,Get the Party Started,3.2088833333333335,2001,B,128.93,pop
Alicia Keys,A Woman's Worth,5.05555,2001,E,75.09,pop
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,2.687333333333333,2002,G,133.592,pop
Coldplay,Clocks,5.131316666666667,2002,F,130.97,rock
